Fecha,Provincia,Tecnología,Accesos
2021-01-01,Tierra Del Fuego,Dial up,289.0
2021-01-01,Tucumán,Dial up,22.0
2020-10-01,Buenos Aires,Dial up,5066.0
2020-10-01,Capital Federal,Dial up,1390.0
2020-10-01,Catamarca,Dial up,1.0
2020-10-01,Chaco,Dial up,3.0
2020-10-01,Chubut,Dial up,825.0
2020-10-01,Córdoba,Dial up,55.0
2020-10-01,Corrientes,Dial up,3.0
2020-10-01,Entre Ríos,Dial up,13.0
2020-10-01,Formosa,Dial up,0.0
2020-10-01,Jujuy,Dial up,0.0
2020-10-01,La Pampa,Dial up,116.0
2020-10-01,La Rioja,Dial up,3.0
2020-10-01,Mendoza,Dial up,615.0
2020-10-01,Misiones,Dial up,0.0
2020-10-01,Neuquén,Dial up,373.0
2020-10-01,Río Negro,Dial up,501.0
2020-10-01,Salta,Dial up,2.0
2020-10-01,San Juan,Dial up,256.0
2020-10-01,San Luis,Dial up,148.0
2020-10-01,Santa Cruz,Dial up,197.0
2020-10-01,Santa Fe,Dial up,137.0
2020-10-01,Santiago Del Estero,Dial up,1.0
2020-10-01,Tierra Del Fuego,Dial up,289.0
2020-10-01,Tucumán,Dial up,22.0
2020-07-01,Buenos Aires,Dial up,5066.0
2020-07-01,Capital Federal,Dial up,1390.0
2020-07-01,Catamarca,Dial up,1.0
2020-07-01,Chaco,Dial up,3.0
2020-07-01,Chubut,Dial up,825.0
2020-07-01,Córdoba,Dial up,55.0
2020-07-01,Corrientes,Dial up,3.0
2020-07-01,Entre Ríos,Dial up,13.0
2020-07-01,Formosa,Dial up,0.0
2020-07-01,Jujuy,Dial up,0.0
2020-07-01,La Pampa,Dial up,116.0
2020-07-01,La Rioja,Dial up,3.0
2020-07-01,Mendoza,Dial up,615.0
2020-07-01,Misiones,Dial up,0.0
2020-07-01,Neuquén,Dial up,373.0
2020-07-01,Río Negro,Dial up,501.0
2020-07-01,Salta,Dial up,2.0
2020-07-01,San Juan,Dial up,256.0
2020-07-01,San Luis,Dial up,148.0
2020-07-01,Santa Cruz,Dial up,197.0
2020-07-01,Santa Fe,Dial up,137.0
2020-07-01,Santiago Del Estero,Dial up,1.0
2020-07-01,Tierra Del Fuego,Dial up,289.0
2020-07-01,Tucumán,Dial up,22.0
2020-04-01,Buenos Aires,Dial up,5066.0
2020-04-01,Capital Federal,Dial up,1390.0
2020-04-01,Catamarca,Dial up,1.0
2020-04-01,Chaco,Dial up,3.0
2020-04-01,Chubut,Dial up,825.0
2020-04-01,Córdoba,Dial up,55.0
2020-04-01,Corrientes,Dial up,3.0
2020-04-01,Entre Ríos,Dial up,13.0
2020-04-01,Formosa,Dial up,0.0
2020-04-01,Jujuy,Dial up,0.0
2020-04-01,La Pampa,Dial up,116.0
2020-04-01,La Rioja,Dial up,3.0
2020-04-01,Mendoza,Dial up,615.0
2020-04-01,Misiones,Dial up,0.0
2020-04-01,Neuquén,Dial up,373.0
2020-04-01,Río Negro,Dial up,501.0
2020-04-01,Salta,Dial up,2.0
2020-04-01,San Juan,Dial up,256.0
2020-04-01,San Luis,Dial up,148.0
2020-04-01,Santa Cruz,Dial up,197.0
2020-04-01,Santa Fe,Dial up,137.0
2020-04-01,Santiago Del Estero,Dial up,1.0
2020-04-01,Tierra Del Fuego,Dial up,289.0
2020-04-01,Tucumán,Dial up,22.0
2020-01-01,Buenos Aires,Dial up,5066.0
2020-01-01,Capital Federal,Dial up,1390.0
2020-01-01,Catamarca,Dial up,1.0
2020-01-01,Chaco,Dial up,3.0
2020-01-01,Chubut,Dial up,800.0
2020-01-01,Córdoba,Dial up,55.0
2020-01-01,Corrientes,Dial up,3.0
2020-01-01,Entre Ríos,Dial up,13.0
2020-01-01,Formosa,Dial up,0.0
2020-01-01,Jujuy,Dial up,0.0
2020-01-01,La Pampa,Dial up,116.0
2020-01-01,La Rioja,Dial up,3.0
2020-01-01,Mendoza,Dial up,615.0
2020-01-01,Misiones,Dial up,0.0
2020-01-01,Neuquén,Dial up,373.0
2020-01-01,Río Negro,Dial up,501.0
2020-01-01,Salta,Dial up,2.0
2020-01-01,San Juan,Dial up,256.0
2020-01-01,San Luis,Dial up,148.0
2020-01-01,Santa Cruz,Dial up,197.0
2020-01-01,Santa Fe,Dial up,137.0
2020-01-01,Santiago Del Estero,Dial up,1.0
2020-01-01,Tierra Del Fuego,Dial up,289.0
2020-01-01,Tucumán,Dial up,22.0
2019-10-01,Buenos Aires,Dial up,5134.0
2019-10-01,Capital Federal,Dial up,1410.0
2019-10-01,Catamarca,Dial up,1.0
2019-10-01,Chaco,Dial up,3.0
2019-10-01,Chubut,Dial up,810.0
2019-10-01,Córdoba,Dial up,55.0
2019-10-01,Corrientes,Dial up,3.0
2019-10-01,Entre Ríos,Dial up,13.0
2019-10-01,Formosa,Dial up,0.0
2019-10-01,Jujuy,Dial up,0.0
2019-10-01,La Pampa,Dial up,119.0
2019-10-01,La Rioja,Dial up,3.0
2019-10-01,Mendoza,Dial up,623.0
2019-10-01,Misiones,Dial up,0.0
2019-10-01,Neuquén,Dial up,376.0
2019-10-01,Río Negro,Dial up,504.0
2019-10-01,Salta,Dial up,2.0
2019-10-01,San Juan,Dial up,259.0
2019-10-01,San Luis,Dial up,148.0
2019-10-01,Santa Cruz,Dial up,200.0
2019-10-01,Santa Fe,Dial up,150.0
2019-10-01,Santiago Del Estero,Dial up,1.0
2019-10-01,Tierra Del Fuego,Dial up,291.0
2019-10-01,Tucumán,Dial up,23.0
2019-07-01,Buenos Aires,Dial up,10119.0
2019-07-01,Capital Federal,Dial up,3477.0
2019-07-01,Catamarca,Dial up,9.0
2019-07-01,Chaco,Dial up,13.0
2019-07-01,Chubut,Dial up,1524.0
2019-07-01,Córdoba,Dial up,107.0
2019-07-01,Corrientes,Dial up,10.0
2019-07-01,Entre Ríos,Dial up,45.0
2019-07-01,Formosa,Dial up,0.0
2019-07-01,Jujuy,Dial up,1.0
2019-07-01,La Pampa,Dial up,269.0
2019-07-01,La Rioja,Dial up,18.0
2019-07-01,Mendoza,Dial up,1322.0
2019-07-01,Misiones,Dial up,0.0
2019-07-01,Neuquén,Dial up,1986.0
2019-07-01,Río Negro,Dial up,904.0
2019-07-01,Salta,Dial up,1.0
2019-07-01,San Juan,Dial up,563.0
2019-07-01,San Luis,Dial up,291.0
2019-07-01,Santa Cruz,Dial up,328.0
2019-07-01,Santa Fe,Dial up,228.0
2019-07-01,Santiago Del Estero,Dial up,2.0
2019-07-01,Tierra Del Fuego,Dial up,544.0
2019-07-01,Tucumán,Dial up,32.0
2019-04-01,Buenos Aires,Dial up,10104.0
2019-04-01,Capital Federal,Dial up,3443.0
2019-04-01,Catamarca,Dial up,9.0
2019-04-01,Chaco,Dial up,13.0
2019-04-01,Chubut,Dial up,1518.0
2019-04-01,Córdoba,Dial up,105.0
2019-04-01,Corrientes,Dial up,10.0
2019-04-01,Entre Ríos,Dial up,44.0
2019-04-01,Formosa,Dial up,0.0
2019-04-01,Jujuy,Dial up,1.0
2019-04-01,La Pampa,Dial up,268.0
2019-04-01,La Rioja,Dial up,18.0
2019-04-01,Mendoza,Dial up,1322.0
2019-04-01,Misiones,Dial up,0.0
2019-04-01,Neuquén,Dial up,1999.0
2019-04-01,Río Negro,Dial up,915.0
2019-04-01,Salta,Dial up,1.0
2019-04-01,San Juan,Dial up,564.0
2019-04-01,San Luis,Dial up,291.0
2019-04-01,Santa Cruz,Dial up,325.0
2019-04-01,Santa Fe,Dial up,226.0
2019-04-01,Santiago Del Estero,Dial up,2.0
2019-04-01,Tierra Del Fuego,Dial up,544.0
2019-04-01,Tucumán,Dial up,32.0
2019-01-01,Buenos Aires,Dial up,10104.0
2019-01-01,Capital Federal,Dial up,3443.0
2019-01-01,Catamarca,Dial up,9.0
2019-01-01,Chaco,Dial up,13.0
2019-01-01,Chubut,Dial up,1518.0
2019-01-01,Córdoba,Dial up,105.0
2019-01-01,Corrientes,Dial up,10.0
2019-01-01,Entre Ríos,Dial up,44.0
2019-01-01,Formosa,Dial up,0.0
2019-01-01,Jujuy,Dial up,1.0
2019-01-01,La Pampa,Dial up,268.0
2019-01-01,La Rioja,Dial up,18.0
2019-01-01,Mendoza,Dial up,1322.0
2019-01-01,Misiones,Dial up,0.0
2019-01-01,Neuquén,Dial up,2056.0
2019-01-01,Río Negro,Dial up,915.0
2019-01-01,Salta,Dial up,1.0
2019-01-01,San Juan,Dial up,564.0
2019-01-01,San Luis,Dial up,291.0
2019-01-01,Santa Cruz,Dial up,325.0
